work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,work_setting
2024,Entry,FT,Data Analyst,50000,USD,50000,US,0,US,M,On-site
2024,Entry,FT,Junior Data Engineer,52000,USD,52000,US,50,US,L,Hybrid
2024,Entry,FT,AI Research Assistant,65000,USD,65000,US,100,US,S,Remote
2024,Entry,FT,Business Intelligence Analyst,48000,USD,48000,US,0,US,M,On-site
2024,Mid,FT,Data Scientist,95000,USD,95000,US,100,US,M,Remote
2024,Mid,FT,Machine Learning Engineer,105000,USD,105000,US,50,US,L,Hybrid
2024,Mid,FT,Data Analyst,80000,USD,80000,US,0,US,M,On-site
2024,Senior,FT,Senior Data Scientist,140000,USD,140000,US,100,US,L,Remote
2024,Senior,FT,Lead AI Engineer,160000,USD,160000,US,0,US,M,On-site
2024,Executive,FT,Head of Data,200000,USD,200000,US,50,US,L,Hybrid
2024,Executive,FT,Director of Data Science,220000,USD,220000,US,100,US,M,Remote
2024,Entry,FT,Data Entry Specialist,40000,USD,40000,US,100,US,S,Remote
2024,Mid,FT,Analytics Engineer,90000,USD,90000,US,50,US,M,Hybrid
2024,Senior,FT,Principal Data Analyst,130000,USD,130000,US,0,US,L,On-site
2024,Mid,FT,AI Developer,110000,USD,110000,US,100,US,S,Remote
2024,Entry,FT,Junior AI Engineer,70000,USD,70000,US,50,US,M,Hybrid
2024,Senior,FT,Data Architect,145000,USD,145000,US,100,US,L,Remote
2024,Mid,FT,Big Data Engineer,100000,USD,100000,US,0,US,M,On-site
2024,Executive,FT,Chief Data Officer,230000,USD,230000,US,0,US,L,On-site
2024,Senior,FT,NLP Engineer,155000,USD,155000,US,100,US,S,Remote
2024,Mid,FT,Marketing Data Analyst,82000,USD,82000,US,50,US,M,Hybrid
2024,Entry,FT,Data Science Intern,45000,USD,45000,US,100,US,M,Remote
2024,Senior,FT,Computer Vision Engineer,150000,USD,150000,US,50,US,L,Hybrid
2024,Mid,FT,Data Scientist,98000,USD,98000,US,0,US,M,On-site
2024,Entry,FT,Junior Data Analyst,51000,USD,51000,US,0,US,S,On-site
2024,Senior,FT,Senior AI Scientist,165000,USD,165000,US,100,US,M,Remote
2024,Mid,FT,Database Administrator,85000,USD,85000,US,50,US,L,Hybrid
2024,Executive,FT,VP of Data,210000,USD,210000,US,100,US,L,Remote
2024,Entry,FT,Data Coordinator,47000,USD,47000,US,0,US,M,On-site
2024,Mid,FT,BI Developer,88000,USD,88000,US,100,US,S,Remote
2024,Senior,FT,Staff Data Engineer,138000,USD,138000,US,50,US,M,Hybrid
2024,Mid,FT,Machine Learning Specialist,108000,USD,108000,US,0,US,L,On-site
2024,Entry,FT,Associate Data Scientist,68000,USD,68000,US,100,US,M,Remote
2024,Senior,FT,Machine Learning Architect,158000,USD,158000,US,0,US,S,On-site
2024,Mid,FT,Financial Data Analyst,83000,USD,83000,US,50,US,L,Hybrid
2024,Senior,FT,Lead Data Scientist,148000,USD,148000,US,100,US,M,Remote
2024,Executive,FT,Data Strategy Director,195000,USD,195000,US,50,US,L,Hybrid
2024,Entry,FT,Junior ML Engineer,72000,USD,72000,US,0,US,M,On-site
2024,Mid,FT,Data Quality Analyst,78000,USD,78000,US,100,US,S,Remote
2024,Senior,FT,Senior Data Engineer,142000,USD,142000,US,50,US,L,Hybrid
2024,Mid,FT,AI Consultant,115000,USD,115000,US,0,US,M,On-site
2024,Entry,FT,Research Analyst,49000,USD,49000,US,100,US,L,Remote
2024,Senior,FT,Deep Learning Engineer,162000,USD,162000,US,50,US,S,Hybrid
